type,val_image,train_image,hamming_distance
near,Anthracnose_392bb781_jpg.rf.a168dc01b7ea4db5073b4244c03a47d3.jpg,Anthracnose_a1e757f2_jpg.rf.34581f7c3966bfc944f52d3b31f56052.jpg,8
near,Anthracnose_4f3aa516_jpg.rf.b21fbd7c04bfdbb4202e271c7bdfc843.jpg,Anthracnose_8701ba50_jpg.rf.1ff1078da3312458f5ab2c91a1df9bd2.jpg,8
near,Anthracnose_592b3d22_jpg.rf.bcf2c333facb86ab7c8ba3af1ccb16e5.jpg,Anthracnose_d3844a77_jpg.rf.f1e01f89168b32391c6c4cd1cbf2cf46.jpg,8
near,Anthracnose_592b3d22_jpg.rf.bcf2c333facb86ab7c8ba3af1ccb16e5.jpg,Anthracnose_e91cf4f9_jpg.rf.1bac34251ab76723d2c1907af61f8e39.jpg,8
near,Anthracnose_72ffd5e1_jpg.rf.55396b74ebacf00cd0ce5482aa0fa999.jpg,Anthracnose_9b76ba13_jpg.rf.331d2ab49153c687e11c3e8a337c2d31.jpg,8
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_372d344d_jpg.rf.c14094e9e814f1b096469fe37e5fb499.jpg,8
near,Anthracnose_7d6096bb_jpg.rf.1d8dc5d3ae71d45c9ed5e9721f50544a.jpg,Anthracnose_f6f4b992_jpg.rf.994492f0ac2a98d46faff595d4bfd3d1.jpg,8
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_39cfbf48_jpg.rf.757229929a5ab865e9c7ad64f1c662c9.jpg,8
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_51f4f1ae_jpg.rf.83c37b3b09be7e0c94985bcad0c86847.jpg,8
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_e73745b2_jpg.rf.f07b1d1bb9bae3513c72b3d4ac99cd7d.jpg,8
near,Anthracnose_aug_78f4f773_jpg.rf.07e1c047fe884325a6a21640cc8a0895.jpg,Anthracnose_7746b8dc_jpg.rf.3f7f4cb3c0051636a7bcb148acf26b18.jpg,8
near,Anthracnose_aug_b9eb6a5a_jpg.rf.b168a652476f3289d0da2ec34a6aec3f.jpg,Anthracnose_aug_5bdf23aa_jpg.rf.b51cc6a3fb2f28b9b4c7b2491abb689a.jpg,8
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_2f56f532_jpg.rf.25e5f1dee95d2b04198129f11d614cba.jpg,8
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_e8aff100_jpg.rf.ccb920601f3a693f3931c05e3a3ecbed.jpg,8
near,Anthracnose_aug_f4e20a28_jpg.rf.0e3aa8dfc430757ac3bac580d3c39049.jpg,Anthracnose_aug_805d053b_jpg.rf.bf26827e4cfe05109f0e4cabd46cc2dc.jpg,8
near,Anthracnose_aug_fa0d46f5_jpg.rf.38c68a841335928c8eb294b0176e49c5.jpg,Anthracnose_58d8aa52_jpg.rf.aef9eed26bd0789096607a00363e8f9a.jpg,8
near,Anthracnose_aug_fa0d46f5_jpg.rf.38c68a841335928c8eb294b0176e49c5.jpg,Anthracnose_aug_d30da515_jpg.rf.6243da0e1b28610927caac199335a59e.jpg,8
near,Anthracnose_aug_fa0d46f5_jpg.rf.38c68a841335928c8eb294b0176e49c5.jpg,Anthracnose_aug_e9b312e8_jpg.rf.fe314d813bee119e326847007679cc1b.jpg,8
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_41d062ec_jpg.rf.e8dac4edb7661bb6198823b31a1a8298.jpg,8
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_d552cd85_jpg.rf.84b7edec7842b88dd3d243590e7f342a.jpg,8
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_eb6e67a1_jpg.rf.0ab3b8dc544f9fef369b9ae372e432f8.jpg,8
near,Anthracnose_cc67bc1d_jpg.rf.2fbb64f903eebca332ece276d097383f.jpg,Anthracnose_7021d310_jpg.rf.6a8756c9fdc268e56b46dd946acce0a5.jpg,8
near,Anthracnose_cc67bc1d_jpg.rf.2fbb64f903eebca332ece276d097383f.jpg,Anthracnose_d7acc71e_jpg.rf.bb0e844164d5270742c0621c36f84b0c.jpg,8
near,Anthracnose_cc67bc1d_jpg.rf.2fbb64f903eebca332ece276d097383f.jpg,Anthracnose_d89e22a5_jpg.rf.420994be0d501eb02db9de903d5713f9.jpg,8
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_91519e76_jpg.rf.ecd28128fe2637b45f0688d70c896a88.jpg,8
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_aug_b8516636_jpg.rf.266c773bcd1687dd858b5158234ca412.jpg,8
