epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
130,20985.3,0.18055,0.31776,0.13108,0.5791,0.51206,0.47249,0.34321,0.51055,0.82995,0.30141,0.000135077,0.000135077,0.000135077
131,21291.4,0.1944,0.28412,0.13083,0.53553,0.51778,0.45901,0.35516,0.50779,0.8229,0.29534,0.000129078,0.000129078,0.000129078
132,21709.2,0.1692,0.26429,0.11803,0.52211,0.51729,0.45809,0.33553,0.49019,0.89601,0.28917,0.000123079,0.000123079,0.000123079
133,22167.3,0.15492,0.29404,0.11649,0.41649,0.52399,0.38249,0.30205,0.49419,0.90312,0.28389,0.000117079,0.000117079,0.000117079
134,22617.2,0.1671,0.27323,0.11299,0.3431,0.47361,0.37156,0.28952,0.48674,0.86669,0.31109,0.00011108,0.00011108,0.00011108
135,23024.2,0.14631,0.26501,0.10812,0.51776,0.45391,0.37715,0.29991,0.47501,0.87971,0.29632,0.00010508,0.00010508,0.00010508
136,23334.7,0.17453,0.2708,0.13984,0.39552,0.56204,0.44018,0.30759,0.51796,0.8117,0.32112,9.9081e-05,9.9081e-05,9.9081e-05
137,23644.9,0.16126,0.27152,0.12478,0.42396,0.51787,0.40586,0.29562,0.48316,0.85207,0.30801,9.30816e-05,9.30816e-05,9.30816e-05
138,23968.5,0.1584,0.26631,0.11231,0.75643,0.43506,0.48685,0.31205,0.47955,0.99008,0.30053,8.70822e-05,8.70822e-05,8.70822e-05
139,24272.1,0.14909,0.25812,0.11845,0.68526,0.43413,0.48843,0.34756,0.47815,0.91924,0.30138,8.10828e-05,8.10828e-05,8.10828e-05
140,24449.8,0.16772,0.25262,0.10957,0.77188,0.43599,0.48683,0.34092,0.48844,0.90396,0.29586,7.50834e-05,7.50834e-05,7.50834e-05
141,24831.5,0.09895,0.15338,0.09053,0.40379,0.51354,0.45602,0.33526,nan,nan,nan,6.9084e-05,6.9084e-05,6.9084e-05
142,25143.6,0.09681,0.1651,0.08468,0.75287,0.42131,0.45579,0.33411,0.49366,0.86555,0.31096,6.30846e-05,6.30846e-05,6.30846e-05
143,25457.8,0.11036,0.14723,0.09608,0.39469,0.50688,0.39,0.29583,0.48282,0.94062,0.2882,5.70852e-05,5.70852e-05,5.70852e-05
144,25785.9,0.0869,0.13907,0.07975,0.70136,0.42131,0.36742,0.28739,0.47608,1.0151,0.2841,5.10858e-05,5.10858e-05,5.10858e-05
145,26102.1,0.10127,0.14903,0.09932,0.70218,0.42131,0.36658,0.28696,0.48005,0.98518,0.28814,4.50864e-05,4.50864e-05,4.50864e-05
146,26418.3,0.09518,0.16789,0.09,0.55319,0.42131,0.44839,0.32651,0.48389,0.95922,0.29747,3.9087e-05,3.9087e-05,3.9087e-05
147,26628.8,0.09545,0.12688,0.08692,0.58062,0.42131,0.44676,0.30888,0.4806,1.01214,0.2972,3.30876e-05,3.30876e-05,3.30876e-05
148,26895.3,0.09557,0.12664,0.08967,0.34903,0.52342,0.36503,0.27667,0.47525,0.96598,0.29624,2.70882e-05,2.70882e-05,2.70882e-05
149,27231.9,0.09884,0.13652,0.09875,0.35633,0.52342,0.36571,0.27738,0.47555,0.96711,0.29512,2.10888e-05,2.10888e-05,2.10888e-05
150,27534.8,0.09876,0.13999,0.09205,0.36488,0.52436,0.36473,0.28002,0.46434,1.02058,0.27146,1.50894e-05,1.50894e-05,1.50894e-05
