type,val_image,train_image,hamming_distance,val_md5,train_md5,val_phash,train_phash
near,Anthracnose_771cedb2_jpg.rf.c1ec313bbf20056a837e363a19716517.jpg,Anthracnose_d8e58f62_jpg.rf.50f20e1089a8b9a3017ce08eadaae3a6.jpg,4,696b1f8c94c27698f3028f314cda7b88,74ded3783ab1bcc55ec77742e7f9629a,97680b9934e4cb79,97680b9834e54bf9
near,Anthracnose_a964d031_jpg.rf.d1e9c7384b7d443b0c7e3409c1ca8005.jpg,Anthracnose_2142276d_jpg.rf.9062aecf04ee7dc11d7da0347f6e0be5.jpg,4,474f9cc99634d5cf12e496605b6df187,817bf10d050af51451b14c37e94881f4,980633590ffb725c,d82633590ffb7248
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_0ae1cc0b_jpg.rf.d2e53ec7127855a4d85a6e3c6005316f.jpg,4,c4ba10a427560e79a3e1f8b91c9e87f7,a3455248644b7e9963cbb1d8ff7787ca,c3355ecce1b19c2c,c23d5ecc61b19d2c
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_69ab0396_jpg.rf.9e7932724552db99e120d39962a99d30.jpg,4,c4ba10a427560e79a3e1f8b91c9e87f7,d74fd715785ca14ea9897f252bfc6732,c3355ecce1b19c2c,c23d5ecc61b19d2c
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_84541a1d_jpg.rf.991141efc8f82c5775059d13428e5c28.jpg,4,c4ba10a427560e79a3e1f8b91c9e87f7,cc58c9e585340c99997e198887930c64,c3355ecce1b19c2c,c23d5ecc61b19d2c
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_8b5138d0_jpg.rf.a636ae468ccd00492597e18453af8d09.jpg,4,c4ba10a427560e79a3e1f8b91c9e87f7,1b4d64f5e96371fbb84c2ee04d7fc8cc,c3355ecce1b19c2c,c23d5ecc61b19d2c
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_f1ddb886_jpg.rf.3a90b25fc0b923bcf9b68997bd656a20.jpg,6,8efe702b1051577385f33efc8285d7ff,7bbe66c0cabd2517e5b629ee2cc4a90b,d0b2895253dd5ee8,d0a2815a5bdd5aec
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,6,0b4580297063221c3d65504687ed2636,da0659e3fd68850721c0bdc219878c46,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,6,0b4580297063221c3d65504687ed2636,285951918dab3e1c58b69e2a2e125312,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,6,0b4580297063221c3d65504687ed2636,cf24b3da82434f440594cc7aa7fe3020,a46d5d1e53825a1f,a56d511a53865e1f
